tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,85.3489761353
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,87.8292236328
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,87.6914596558
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,93.8602905273
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,87.3186340332
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,79.320022583
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,105.990104675
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,106.111579895
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,104.347190857
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,81.2947311401
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,79.7464752197
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,82.300743103
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,75.6106567383
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,88.4499969482
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,92.4411010742
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,86.6016311646
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,90.3227996826
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,90.0413742065
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,100.32447052
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,92.3724212646
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,93.5276870728
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,58.3729515076
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,57.4794921875
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,57.6265869141
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,72.750038147
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,86.4668502808
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,83.6708984375
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,76.9709625244
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,80.5986785889
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,72.0163726807
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,79.1886291504
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,77.5236206055
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,73.9911956787
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,58.1649093628
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,61.18334198
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,56.7842102051
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,100.999900818
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,101.17830658
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,114.527145386
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,100.648933411
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,88.0554962158
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,89.5680236816
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,119.094520569
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,114.242774963
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,121.760902405
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,96.8996810913
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,91.5439071655
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,97.2842559814
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,79.1013336182
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,83.5734863281
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,83.0289840698
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,83.840927124
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,78.3925704956
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,78.8214416504
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,90.9523544312
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,95.3207473755
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,85.5663757324
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,69.9341278076
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,69.3591537476
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,62.9473228455
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,70.7190322876
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,84.6313095093
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,77.5670318604
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,82.2611236572
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,85.0047073364
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,68.0155944824
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,94.6240921021
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,93.2545471191
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,88.780632019
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,67.1135559082
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,65.7543334961
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,62.4160919189
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,117.17388916
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,117.979621887
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,123.256507874
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,105.019081116
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,101.199874878
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,92.257484436
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,73.0003662109
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,72.8341064453
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,67.502494812
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,53.7955703735
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,56.9733581543
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,45.5363845825
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,85.3489761353
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,87.8292236328
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,87.6914596558
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,93.8602905273
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,87.3186340332
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,79.320022583
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,105.990104675
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,106.111579895
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,104.347190857
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,81.2947311401
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,79.7464752197
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,82.300743103
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,75.6106567383
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,88.4499969482
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,92.4411010742
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,86.6016311646
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,90.3227996826
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,90.0413742065
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,100.32447052
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,92.3724212646
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,93.5276870728
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,58.3729515076
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,57.4794921875
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,57.6265869141
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,72.750038147
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,86.4668502808
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,83.6708984375
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,76.9709625244
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,80.5986785889
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,72.0163726807
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,79.1886291504
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,77.5236206055
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,73.9911956787
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,58.1649093628
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",1,61.18334198
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",1,56.7842102051
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,100.999900818
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,101.17830658
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,114.527145386
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,100.648933411
